departure_airport_code,arrival_airport_code,provider_code,base_price
AAR,FLR,transnusa.co.id,577
AAR,FLR,flawingo.com,660
AAR,FRA,blu-express.com,587
AAR,FRA,aegeanair.com,646
AAR,FRA,aa.com,362
AAR,FRA,halatrip.com,685
AAR,FRA,olympicair.com,219
AAR,FRA,omanair.com,301
AAR,FRA,flawingo.com,660
AAR,FRA,jetblue.com,207
AAR,GEG,halatrip.com,476
AAR,GEG,ataair.ir,465
AAR,GEG,aeropelican.com.au,374
AAR,GEG,flawingo.com,207
AAR,GIG,finnair.com,310
AAR,GIG,transnusa.co.id,619
AAR,GIG,japanflight.tripstar.co.jp,502
AAR,GIG,omanair.com,290
AAR,GIG,britishairways.com,619
AAR,GLA,czechairlines.com,419
AAR,GLA,avianca.com.br,341
AAR,GLA,megamaldivesair.com,647
AAR,GLA,salamair.com,428
AAR,GLA,united.com,368
AAR,GLA,japanflight.tripstar.co.jp,276
AAR,GLA,batavia-air.co.id,621
AAR,GLA,iberiaexpress.com,304
AAR,GMP,virginamerica.com,253
AAR,GMP,omanair.com,542
AAR,GMP,jetblue.com,171
AAR,GOT,united.com,284
AAR,GRU,finnair.com,106
AAR,GRU,united.com,159
AAR,GRU,ceair.com,626
AAR,GRU,transnusa.co.id,118
AAR,GSP,megamaldivesair.com,546
AAR,GSP,ataair.ir,629
AAR,GSP,aeropelican.com.au,631
AAR,GUM,omanair.com,212
AAR,GUM,kenya-airways.com,337
AAR,GUM,japanflight.tripstar.co.jp,164
AAR,GUM,ceair.com,467
AAR,GUM,batavia-air.co.id,336
AAR,GUM,bruneiair.com,251
AAR,GUM,rahbal.ir,238
AAR,GYD,ataair.ir,187
AAR,GYD,kenya-airways.com,193
AAR,GYD,iberiaexpress.com,257
AAR,GYD,aa.com,165
AAR,GYD,rahbal.ir,556
AAR,HAH,ceair.com,583
AAR,HAH,airindia.com,263
AAR,HAH,halatrip.com,126
AAR,HAJ,bangkokair.com,405
AAR,HAJ,japanflight.tripstar.co.jp,495
AAR,HAJ,olympicair.com,668
AAR,HAJ,airfrance.com,461
AAR,HAJ,blu-express.com,304
AAR,HAJ,airindia.com,581
AAR,HAJ,united.com,649
AAR,HAJ,virginamerica.com,546
AAR,HAJ,fijiairways.com,419
AAR,HAM,airindiaexpress.in,254
AAR,HAM,bangkokair.com,550
AAR,HAM,aegeanair.com,624
AAR,HAM,flawingo.com,121
AAR,HAM,csair.com,303
AAR,HBE,airberlin.com,260
AAR,HBE,aa.com,197
AAR,HBE,united.com,401
AAR,HBE,flawingo.com,619
AAR,HIJ,airberlin.com,493
AAR,HIJ,united.com,501
AAR,HKG,bruneiair.com,173
AAR,HKG,airberlin.com,579
AAR,HKG,silkair.com,136
AAR,HND,finnair.com,611
AAR,HND,aircanada.com,568
AAR,HND,csair.com,113
AAR,HND,kenya-airways.com,221
AAR,HND,delta.com,108
AAR,HND,cebupacificair.com,146
AAR,HNL,united.com,297
AAR,HNL,olympicair.com,411
AAR,HNL,czechairlines.com,363
AAR,HNL,flawingo.com,592
AAR,HNL,halatrip.com,529
AAR,HNL,kenya-airways.com,332
AAR,HOU,ceair.com,152
AAR,HOU,halatrip.com,446
AAR,HOU,blu-express.com,479
AAR,IAD,jetblue.com,170
AAR,IAD,aircanada.com,128
AAR,IAD,cebupacificair.com,472
AAR,IAD,aegeanair.com,666
AAR,IAD,virginamerica.com,237
AAR,IAD,bangkokair.com,208
AAR,IAD,kenya-airways.com,676
AAR,IAD,avianca.com.br,587
AAR,IAD,blu-express.com,247
AAR,IAH,silkair.com,340
AAR,IAH,aa.com,585
AAR,IAH,olympicair.com,235
AAR,ICN,aircanada.com,663
AAR,ICT,batavia-air.co.id,176
AAR,ICT,ceair.com,531
AAR,ICT,iberiaexpress.com,506
AAR,ICT,aircanada.com,460
AAR,ICT,fijiairways.com,625
AAR,ICT,ataair.ir,629
AAR,ICT,airberlin.com,685
AAR,ICT,blu-express.com,322
AAR,IEV,halatrip.com,140
AAR,IEV,megamaldivesair.com,399
AAR,IEV,elal.com,510
AAR,IEV,united.com,286
AAR,IKA,avianca.com.br,117
AAR,IKA,transnusa.co.id,356
AAR,IST,halatrip.com,302
AAR,IST,salamair.com,568
AAR,IST,csair.com,300
AAR,IST,batavia-air.co.id,214
AAR,IST,japanflight.tripstar.co.jp,163
AAR,ITM,flawingo.com,693
AAR,ITM,csair.com,340
AAR,ITM,finnair.com,416
AAR,ITM,blu-express.com,476
AAR,ITM,czechairlines.com,409
AAR,JAX,olympicair.com,214
AAR,JFK,finnair.com,365
AAR,JFK,japanflight.tripstar.co.jp,674
AAR,JFK,megamaldivesair.com,522
AAR,JFK,blu-express.com,204
AAR,JFK,avianca.com.br,197
AAR,JNB,silkair.com,584
AAR,JNB,kenya-airways.com,170
AAR,KBP,bangkokair.com,375
AAR,KBP,batavia-air.co.id,428
AAR,KBP,airindia.com,277
AAR,KBP,airberlin.com,130
AAR,KBP,transnusa.co.id,375
AAR,KEF,flawingo.com,423
AAR,KEF,airfrance.com,570
AAR,KEF,blu-express.com,444
AAR,KIN,united.com,325
AAR,KIN,omanair.com,464
AAR,KIN,bruneiair.com,173
AAR,KIN,jetblue.com,686
AAR,KIN,airberlin.com,275
AAR,KIN,brindabellaairlines.com.au,138
AAR,KIX,virginamerica.com,624
AAR,KIX,silkair.com,254
AAR,KIX,aircanada.com,161
AAR,KIX,salamair.com,187
AAR,KIX,avianca.com.br,198
AAR,KIX,jetblue.com,504
AAR,KUL,rahbal.ir,558
AAR,KUL,aa.com,669
AAR,KUL,united.com,293
AAR,KUL,delta.com,644
AAR,KUL,omanair.com,596
AAR,KUL,kenya-airways.com,223
AAR,KUL,blu-express.com,609
AAR,KUL,aircanada.com,373
AAR,LAS,czechairlines.com,524
AAR,LAS,ataair.ir,275
AAR,LAS,fijiairways.com,352
AAR,LAS,airindia.com,444
AAR,LAX,fijiairways.com,363
AAR,LAX,transnusa.co.id,148
AAR,LAX,virginamerica.com,523
AAR,LAX,ceair.com,117
AAR,LAX,jetblue.com,635
AAR,LBB,bangkokair.com,180
AAR,LBB,megamaldivesair.com,696
AAR,LBB,flawingo.com,491
AAR,LBB,japanflight.tripstar.co.jp,400
AAR,LBB,transnusa.co.id,558
AAR,LBB,brindabellaairlines.com.au,549
AAR,LCY,flawingo.com,481
AAR,LCY,airindiaexpress.in,688
AAR,LCY,finnair.com,624
AAR,LCY,transnusa.co.id,650
AAR,LCY,delta.com,499
AAR,LCY,ataair.ir,461
AAR,LED,czechairlines.com,324
AAR,LED,aeropelican.com.au,666
AAR,LED,transnusa.co.id,260
AAR,LED,aa.com,534
AAR,LGA,aegeanair.com,132
AAR,LGA,aeropelican.com.au,275
AAR,LGA,iberiaexpress.com,586
AAR,LGA,megamaldivesair.com,280
ADB,AAR,blu-express.com,696
ADB,AAR,airfrance.com,383
ADB,AAR,olympicair.com,294
ADB,AAR,airberlin.com,529
ADB,AAR,avianca.com.br,170
ADB,AAR,iberiaexpress.com,586
ADB,AAR,brindabellaairlines.com.au,356
ADB,AAR,fijiairways.com,418
ADB,AAR,delta.com,135
ADB,ADL,salamair.com,214
ADB,ADL,ceair.com,663
ADB,ADL,elal.com,532
ADB,ADL,silkair.com,654
ADB,ADL,megamaldivesair.com,297
ADB,ADL,aircanada.com,262
ADB,ADL,airfrance.com,388
ADB,AKL,bruneiair.com,682
ADB,AKL,omanair.com,667
ADB,AKL,blu-express.com,321
ADB,AKL,olympicair.com,605
ADB,AKL,brindabellaairlines.com.au,493
ADB,AMM,bangkokair.com,595
ADB,AMM,megamaldivesair.com,215
ADB,AMM,japanflight.tripstar.co.jp,635
ADB,AMM,rahbal.ir,281
ADB,AMM,ataair.ir,226
ADB,AMM,airindiaexpress.in,324
ADB,AMM,silkair.com,234
ADB,APW,airfrance.com,231
ADB,APW,elal.com,338
ADB,APW,brindabellaairlines.com.au,346
ADB,APW,batavia-air.co.id,617
ADB,ARN,fijiairways.com,109
ADB,ARN,kenya-airways.com,693
ADB,ARN,cebupacificair.com,347
ADB,ARN,elal.com,590
ADB,ARN,jetblue.com,107
ADB,ARN,bangkokair.com,653
ADB,ARN,delta.com,103
ADB,ARN,csair.com,472
ADB,ATH,airberlin.com,623
ADB,ATH,united.com,380
ADB,ATH,flawingo.com,633
ADB,ATH,bangkokair.com,528
ADB,ATH,jetblue.com,148
ADB,ATH,elal.com,149
ADB,ATL,delta.com,554
ADB,ATL,bangkokair.com,381
ADB,ATL,kenya-airways.com,391
ADB,AUH,blu-express.com,196
ADB,AUH,halatrip.com,118
ADB,AUH,mea.com.lb,192
ADB,AUH,airberlin.com,493
ADB,AUH,bruneiair.com,105
ADB,AUH,transnusa.co.id,208
ADB,AUS,airindiaexpress.in,231
ADB,AUS,mea.com.lb,510
ADB,AUS,elal.com,589
ADB,AUS,united.com,462
ADB,AUS,ataair.ir,294
ADB,AUS,bruneiair.com,435
ADB,AUS,cebupacificair.com,601
ADB,BCN,salamair.com,246
ADB,BCN,aircanada.com,279
ADB,BCN,united.com,499
ADB,BCN,olympicair.com,471
ADB,BCN,jetblue.com,541
ADB,BCN,ataair.ir,279
ADB,BDA,silkair.com,509
ADB,BDA,csair.com,208
ADB,BDA,blu-express.com,687
ADB,BDA,fijiairways.com,496
ADB,BGW,bruneiair.com,338
ADB,BGW,aa.com,122
ADB,BGW,jetblue.com,102
ADB,BGW,delta.com,332
ADB,BGW,megamaldivesair.com,182
ADB,BGY,cebupacificair.com,314
ADB,BGY,virginamerica.com,652
ADB,BGY,fijiairways.com,378
ADB,BGY,transnusa.co.id,606
ADB,BGY,flawingo.com,164
ADB,BGY,delta.com,421
ADB,BGY,aeropelican.com.au,223
ADB,BHX,silkair.com,243
ADB,BHX,brindabellaairlines.com.au,419
ADB,BHX,flawingo.com,517
ADB,BHX,aircanada.com,584
ADB,BJV,rahbal.ir,257
ADB,BJV,batavia-air.co.id,426
ADB,BJV,ataair.ir,508
ADB,BJV,britishairways.com,542
ADB,BJV,kenya-airways.com,390
ADB,BJV,halatrip.com,429
ADB,BJV,czechairlines.com,588
ADB,BJV,elal.com,691
ADB,BOD,megamaldivesair.com,395
ADB,BOD,silkair.com,194
ADB,BOD,britishairways.com,284
ADB,BOD,bangkokair.com,615
ADB,BOD,airindia.com,129
ADB,BOS,jetblue.com,205
ADB,BOS,flawingo.com,203
ADB,BRU,aeropelican.com.au,185
ADB,BRU,czechairlines.com,693
ADB,BRU,cebupacificair.com,181
ADB,BRU,elal.com,617
ADB,BRU,salamair.com,319
ADB,BRU,kenya-airways.com,205
ADB,BSL,aa.com,270
ADB,BSL,japanflight.tripstar.co.jp,146
ADB,BSL,blu-express.com,305
ADB,BSL,delta.com,409
ADB,BSL,aeropelican.com.au,226
ADB,BSL,airfrance.com,295
ADB,BSL,fijiairways.com,337
ADB,BTS,kenya-airways.com,308
ADB,BTS,olympicair.com,435
ADB,BVA,batavia-air.co.id,626
ADB,BVA,silkair.com,576
ADB,CAE,rahbal.ir,568
ADB,CAE,csair.com,572
ADB,CAE,avianca.com.br,279
ADB,CAE,airindia.com,497
ADB,CAE,silkair.com,487
ADB,CAK,virginamerica.com,196
ADB,CAK,rahbal.ir,631
ADB,CAK,omanair.com,207
ADB,CAK,airfrance.com,572
ADB,CAK,bangkokair.com,575
ADB,CAK,jetblue.com,451
ADB,CAK,airberlin.com,131
ADB,CAK,silkair.com,400
ADB,CDG,fijiairways.com,293
ADB,CDG,omanair.com,176
ADB,CGK,megamaldivesair.com,376
ADB,CGK,bruneiair.com,495
ADB,CGK,kenya-airways.com,514
ADB,CGK,delta.com,285
ADB,CGK,aa.com,668
ADB,CGK,batavia-air.co.id,315
ADB,CGK,olympicair.com,268
ADB,CGN,airberlin.com,187
ADB,CGN,britishairways.com,168
ADB,CGN,bangkokair.com,193
ADB,CGN,united.com,493
ADB,CIA,aegeanair.com,132
ADB,CIA,iberiaexpress.com,475
ADB,CIA,airfrance.com,351
ADB,CIA,britishairways.com,171
ADB,CIA,jetblue.com,652
ADB,CJU,japanflight.tripstar.co.jp,164
ADB,CJU,blu-express.com,591
ADB,CLE,silkair.com,193
ADB,CLE,japanflight.tripstar.co.jp,564
ADB,CLE,avianca.com.br,363
ADB,CLE,czechairlines.com,302
ADB,CLE,aa.com,345
ADB,CMB,ataair.ir,521
ADB,CMH,airberlin.com,612
ADB,CMH,fijiairways.com,524
ADB,CMH,ceair.com,289
ADB,CMH,cebupacificair.com,410
ADB,CMH,silkair.com,103
ADB,CMH,salamair.com,467
ADB,CMH,csair.com,395
ADB,CMH,delta.com,604
ADB,CMH,rahbal.ir,592
ADB,CMH,megamaldivesair.com,442
ADB,CMN,aa.com,109
ADB,CMN,airfrance.com,196
ADB,CMN,mea.com.lb,399
ADB,CMN,jetblue.com,238
ADB,CMN,csair.com,216
ADB,CMN,aegeanair.com,231
ADB,CMN,japanflight.tripstar.co.jp,294
ADB,CMN,blu-express.com,484
ADB,CNF,mea.com.lb,404
ADB,CNF,aircanada.com,461
ADB,CNF,halatrip.com,533
ADB,COS,airindia.com,518
ADB,COS,avianca.com.br,680
ADB,COS,transnusa.co.id,500
ADB,COS,aa.com,128
ADB,CPH,omanair.com,573
ADB,CPH,transnusa.co.id,229
ADB,CPH,salamair.com,687
ADB,CPH,britishairways.com,317
ADB,CPH,cebupacificair.com,518
ADB,CPH,iberiaexpress.com,523
ADB,CPH,silkair.com,543
ADB,CPH,megamaldivesair.com,470
ADB,CPH,brindabellaairlines.com.au,285
ADB,CPH,airfrance.com,694
ADB,CPH,jetblue.com,103
ADB,CPH,aircanada.com,433
ADB,CPH,airindiaexpress.in,470
ADB,CRK,czechairlines.com,534
ADB,CRK,mea.com.lb,598
ADB,CRK,aircanada.com,498
ADB,CRK,aeropelican.com.au,125
ADB,CRK,airindia.com,653
ADB,CRK,kenya-airways.com,402
ADB,CRL,aeropelican.com.au,524
ADB,CRL,bruneiair.com,545
ADB,CRL,elal.com,449
ADB,CRL,jetblue.com,201
ADB,CTS,elal.com,307
ADB,CTS,salamair.com,461
ADB,CTS,airindia.com,468
ADB,CTS,finnair.com,645
ADB,CTS,united.com,505
ADB,CTS,delta.com,328
ADB,CTS,jetblue.com,536
ADB,CVG,transnusa.co.id,218
ADB,CVG,aeropelican.com.au,343
ADB,CVG,avianca.com.br,559
ADB,CVG,czechairlines.com,113
ADB,CVG,megamaldivesair.com,568
ADB,CVG,omanair.com,669
ADB,CXR,kenya-airways.com,242
ADB,CXR,omanair.com,163
ADB,DAY,czechairlines.com,490
ADB,DAY,kenya-airways.com,563
ADB,DAY,elal.com,111
ADB,DAY,airfrance.com,415
ADB,DAY,halatrip.com,523
ADB,DCA,halatrip.com,604
ADB,DCA,flawingo.com,311
ADB,DCA,virginamerica.com,243
ADB,DCA,kenya-airways.com,639
ADB,DCA,britishairways.com,695
ADB,DEN,omanair.com,247
ADB,DEN,finnair.com,689
ADB,DEN,olympicair.com,151
ADB,DEN,salamair.com,654
ADB,DEN,transnusa.co.id,316
ADB,DEN,ceair.com,115
ADB,DEN,delta.com,117
ADB,DFW,kenya-airways.com,617
ADB,DFW,transnusa.co.id,631
ADB,DFW,bruneiair.com,596
ADB,DFW,czechairlines.com,673
ADB,DFW,omanair.com,103
ADB,DFW,brindabellaairlines.com.au,380
ADB,DFW,fijiairways.com,273
ADB,DME,bangkokair.com,470
ADB,DME,aa.com,280
ADB,DME,mea.com.lb,242
ADB,DME,batavia-air.co.id,683
ADB,DME,czechairlines.com,407
ADB,DME,fijiairways.com,224
ADB,DRW,brindabellaairlines.com.au,118
ADB,DRW,olympicair.com,106
ADB,DRW,iberiaexpress.com,429
ADB,DRW,salamair.com,237
ADB,DTW,czechairlines.com,596
ADB,DTW,iberiaexpress.com,203
ADB,DTW,transnusa.co.id,538
ADB,DTW,batavia-air.co.id,224
ADB,DUR,airindiaexpress.in,377
ADB,DUR,cebupacificair.com,475
ADB,DUR,transnusa.co.id,317
ADB,DUR,fijiairways.com,690
ADB,DUR,bruneiair.com,105
ADB,DUR,czechairlines.com,346
ADB,DUR,britishairways.com,322
ADB,DUS,silkair.com,239
ADB,DUS,japanflight.tripstar.co.jp,628
ADB,DUS,jetblue.com,103
ADB,DUS,transnusa.co.id,436
ADB,DUS,megamaldivesair.com,566
ADB,EIN,virginamerica.com,365
ADB,EIN,united.com,596
ADB,EIN,airindia.com,635
ADB,EIN,halatrip.com,601
ADB,EIN,iberiaexpress.com,622
ADB,EIN,airberlin.com,626
ADB,EIN,mea.com.lb,605
ADB,EIN,aa.com,143
ADB,ESB,aeropelican.com.au,641
ADB,EWR,kenya-airways.com,312
ADB,EWR,omanair.com,496
ADB,EWR,silkair.com,379
ADB,EWR,iberiaexpress.com,219
ADB,EWR,ataair.ir,464
ADB,EWR,japanflight.tripstar.co.jp,280
ADB,EWR,finnair.com,126
ADB,EWR,flawingo.com,460
ADB,EZE,flawingo.com,663
ADB,EZE,omanair.com,349
ADB,EZE,bruneiair.com,204
ADB,EZE,airindia.com,677
ADB,EZE,aa.com,537
ADB,FCO,finnair.com,561
ADB,FCO,salamair.com,659
ADB,FCO,bangkokair.com,237
ADB,FCO,delta.com,310
ADB,FCO,mea.com.lb,362
ADB,FCO,bruneiair.com,647
